竞买号,总竞价次数,初始竞价价格,最高竞价价格,每次竞价相对最近一次出价的时间差的平均值(秒),每次竞价相对自己最近一次出价的时间差的平均值(秒),每次竞价相对最近一次出价的金额差的平均值,每次竞价相对自己最近一次出价的金额差的平均值,每次竞价相对最近一次出价的金额差与最近一次出价的百分比的平均值,每次竞价相对自己最近一次出价的金额差与总金额的百分比平均值,震慑性加价次数(>3%)
Z1420,27,9290399.94,14534399.94,239.230769,3496.76,46000.0,206080.0,0.3652084840952564,1.6542832443605076,0
M1653,17,9612399.94,14488399.94,94.352941,4909.133333,46000.0,318933.3333333333,0.3480371669245433,2.511932476641932,0
K2896,8,9520399.94,13384399.94,788.25,12756.333333,46000.0,575000.0,0.38298059537261564,4.664055261552293,0
S6185,3,12924399.94,13200399.94,12.333333,43.0,46000.0,184000.0,0.353417982973933,1.4036800894251629,0
U0841,3,12188399.94,13016399.94,234.333333,698.0,46000.0,598000.0,0.3685826364601884,4.676844168852112,0
T8675,3,10072399.94,12602399.94,239.0,950.0,46000.0,2024000.0,0.4184859866660212,16.73225100062292,0
G3921,2,9474399.94,12050399.94,470.5,,989000.0,,20.39179274925141,,1
P7058,3,9888399.94,12004399.94,17052.0,2235.0,46000.0,92000.0,0.463047456879525,0.9218067467544793,0
B4085,4,9244399.94,10026399.94,845.666666,41753.0,61333.333333333336,345000.0,0.6486755330741761,3.502439198732567,0
C7280,2,9704399.94,9796399.94,6743.0,,46000.0,,0.47401179139778943,,0
S0732,1,9750399.94,9750399.94,2716.0,,46000.0,,,,0
W9883,1,9428399.94,9428399.94,1285.0,,46000.0,,,,0
